Sat Jan 20 19:25:55 CST 2024

Device Version Info = 1746_0_01
BQZ Device Name = bq27z746
BQZ Firmware Version = 0_01


Sample,DateTime,ElapsedTime,Voltage,Current,LogRowTime(ms),LogStatus
89,2024-01-20 19:27:25,89.986,3879,-3227,30,SUCCESS
90,2024-01-20 19:27:26,91.000,3879,-3216,35,SUCCESS
91,2024-01-20 19:27:27,92.015,3879,-3224,34,SUCCESS
92,2024-01-20 19:27:28,93.027,3879,-3216,37,SUCCESS
93,2024-01-20 19:27:29,94.043,3879,-3220,22,SUCCESS
94,2024-01-20 19:27:30,95.058,3879,-3213,24,SUCCESS
95,2024-01-20 19:27:31,96.071,3878,-3216,24,SUCCESS
96,2024-01-20 19:27:32,97.084,3878,-3209,28,SUCCESS
97,2024-01-20 19:27:33,98.100,3878,-3216,26,SUCCESS
98,2024-01-20 19:27:34,99.115,3878,-3205,30,SUCCESS
99,2024-01-20 19:27:35,100.116,3878,-3213,27,SUCCESS
100,2024-01-20 19:27:36,101.126,3878,-3205,32,SUCCESS
101,2024-01-20 19:27:37,102.126,3878,-3209,32,SUCCESS
102,2024-01-20 19:27:38,103.127,3878,-3202,36,SUCCESS
103,2024-01-20 19:27:39,104.142,3878,-3209,38,SUCCESS
104,2024-01-20 19:27:40,105.155,3878,-3198,34,SUCCESS
105,2024-01-20 19:27:41,106.169,3877,-3202,21,SUCCESS
106,2024-01-20 19:27:42,107.184,3877,-3198,36,SUCCESS
107,2024-01-20 19:27:43,108.199,3877,-3205,21,SUCCESS
108,2024-01-20 19:27:44,109.214,3877,-3194,22,SUCCESS
109,2024-01-20 19:27:45,110.225,3877,-3202,28,SUCCESS
110,2024-01-20 19:27:46,111.237,3877,-3194,30,SUCCESS
111,2024-01-20 19:27:47,112.252,3877,-3198,31,SUCCESS
112,2024-01-20 19:27:48,113.267,3876,-3191,30,SUCCESS
113,2024-01-20 19:27:49,114.281,3876,-3194,25,SUCCESS
114,2024-01-20 19:27:50,115.295,3876,-3191,36,SUCCESS
115,2024-01-20 19:27:51,116.310,3876,-3191,20,SUCCESS
116,2024-01-20 19:27:52,117.324,3876,-3191,21,SUCCESS
117,2024-01-20 19:27:53,118.340,3876,-3191,22,SUCCESS
118,2024-01-20 19:27:54,119.353,3876,-3183,40,SUCCESS
119,2024-01-20 19:27:55,120.364,3876,-3187,29,SUCCESS
